Features,FtBin-mora_STEM,FtBin-syll_STEM,Parse-syll_STEM,*ti_STEM,Ident(cont)/footed_STEM,Ident(cont)/extrametrical_STEM,*Ci#_POST,Max-footed_POST,Max_POST,,
*Transition,INPUT vetä-i,STEMOUT (veti),,,,1,,,,,
Transition,INPUT vetä-i,STEMOUT (ve)ti,1,1,1,1,,,,,
Transition,INPUT vetä-i,STEMOUT (vesi),,,,,1,,,,
Transition,INPUT vetä-i,STEMOUT (ve)si,1,1,1,,,1,,,
Transition,STEMOUT (veti),WORDOUT (veti),,,,,,,,,
Transition,STEMOUT (ve)ti,WORDOUT (ve)ti,,,,,,,,,
Transition,STEMOUT (vesi),WORDOUT (vesi),,,,,,,,,
Transition,STEMOUT (ve)si,WORDOUT (ve)si,,,,,,,,,
Transition,WORDOUT (veti),POSTOUT (veti),,,,,,,1,,
Transition,WORDOUT (veti),POSTOUT(vet),,,,,,,,1,1
Transition,WORDOUT (ve)ti,POSTOUT (ve)ti,,,,,,,1,,
Transition,WORDOUT (ve)ti,POSTOUT(ve)t,,,,,,,,,1
Transition,WORDOUT (vesi),POSTOUT (vesi),,,,,,,1,,
Transition,WORDOUT (vesi),POSTOUT (ves),,,,,,,,1,1
Transition,WORDOUT (ve)si,POSTOUT (ve)si,,,,,,,1,,
Transition,WORDOUT (ve)si,POSTOUT (ve)s,,,,,,,,,1
Transition,POSTOUT (veti),OBS veti,,,,,,,,,
Transition,POSTOUT(vet),OBS vet,,,,,,,,,
Transition,POSTOUT (ve)ti,OBS veti,,,,,,,,,
Transition,POSTOUT(ve)t,OBS vet,,,,,,,,,
Transition,POSTOUT (vesi),OBS vesi,,,,,,,,,
Transition,POSTOUT (ves),OBS ves,,,,,,,,,
Transition,POSTOUT (ve)si,OBS vesi,,,,,,,,,
Transition,POSTOUT (ve)s,OBS ves,,,,,,,,,
*Transition,INPUT vuota-i,STEMOUT (vuo)ti,,1,1,1,,,1,,
Transition,INPUT vuota-i,STEMOUT (vuoti),1,,,1,,,1,,
Transition,INPUT vuota-i,STEMOUT (vuo)si,,1,1,,,1,1,,
Transition,INPUT vuota-i,STEMOUT (vuosi),1,,,,1,,1,,
Transition,STEMOUT (vuo)ti,WORDOUT (vuo)ti,,,,,,,,,
Transition,STEMOUT (vuoti),WORDOUT (vuoti),,,,,,,,,
Transition,STEMOUT (vuo)si,WORDOUT (vuo)si,,,,,,,,,
Transition,STEMOUT (vuosi),WORDOUT (vuosi),,,,,,,,,
Transition,WORDOUT (vuo)ti,POSTOUT (vuo)ti,,,,,,,1,,
Transition,WORDOUT (vuo)ti,POSTOUT (vuo)t,,,,,,,,,1
Transition,WORDOUT (vuoti),POSTOUT (vuoti),,,,,,,1,,
