Features,NoTD,DontDelete,,
*Transition,|mist|_level0,/mist/_level0,1,
Transition,|mist|_level0,/mis'/_level0,,1
Transition,/mist/_level0,|mist|_level1,,
Transition,/mis'/_level0,|mis'|_level1,,
Transition,|mist|_level1,/mist/_level1,1,
Transition,|mist|_level1,/mis'/_level1,,1
Transition,|mis'|_level1,/mis'/_level1,,
Transition,/mist/_level1,|mist|_level2,,
Transition,/mis'/_level1,|mis'|_level2,,
Transition,|mist|_level2,/mist/_level2,1,
Transition,|mist|_level2,/mis'/_level2,,1
Transition,|mis'|_level2,/mis'/_level2,,
*Transition,|sold|_level1,/sold/_level1,1,
Transition,|sold|_level1,/sol'/_level1,,1
Transition,/sold/_level1,|sold|_level2,,
Transition,/sol'/_level1,|sol'|_level2,,
Transition,|sold|_level2,/sold/_level2,1,
Transition,|sold|_level2,/sol'/_level2,,1
Transition,|sol'|_level2,/sol'/_level2,,
*Transition,|missed|_level2,/missed/_level2,1,
Transition,|missed|_level2,/miss'/_level2,,1
Observation,|mist|_level0,/mist/_level2,407,
Observation,|mist|_level0,/mis'/_level2,251,
Observation,|sold|_level1,/sold/_level2,37,
Observation,|sold|_level1,/sol'/_level2,19,
Observation,|missed|_level2,/missed/_level2,152,
Observation,|missed|_level2,/miss'/_level2,29,
