Features,*[VRelProm] -> /Unstress/,*[V] -> /VV/,*[0] -> /Vfull/,*[0] -> /Vweak/,*[V] -> /Vweak/,*/VV/ -> |V|,*/V/ -> |VV|,*/Vfull/ -> |Vweak|,*/Vweak/ -> |Vfull|,*|Vfull| -> /Vweak/,*|Vweak| -> [Vfull],*|V| -> /VV/,*|VV| -> /V/,*/Unstress-iFull/,*/Unstress-Vfull/,*/Vweak/,*/StressVweak/,/FootBin/,/Align-PWd.R.Ft.R/,/Align-PWd.L.Ft.L/,/Align-Ft.R.PWd.R/,,
*Transition,[m'inIst3] (ignoring first foot),/mini(s'ita)/,1,,1,,,,,,,,,,,0,1,,,,,,
Transition,[m'inIst3] (ignoring first foot),/minisi(t'a)/,,,1,,,,,,,,,,,0,1,,,1,,,
Transition,[m'inIst3] (ignoring first foot),/minisI(t'aa)/,,1,,1,,,,,,,,,,0,,1,,,,,
Transition,[m'inIst3] (ignoring first foot),/minisi(t'aa)/,,1,1,,,,,,,,,,,0,1,,,,,,
Transition,[m'inIst3] (ignoring first foot),/mini(s'Ita)/,1,,,1,,,,,,,,,,0,1,1,1,,,,
Transition,[m'inIst3] (ignoring first foot),/minisI(t'a)/,,,,1,,,,,,,,,,0,,1,,1,,,
Transition,/mini(s'ita)/,|minisitaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/mini(s'ita)/,|minisita|,,,,,,,,,,,,,,,,,,,,,
Transition,/mini(s'ita)/,|minisItaa|,,,,,,,1,1,,,,,,,,,,,,,
Transition,/mini(s'ita)/,|minisIta|,,,,,,,,1,,,,,,,,,,,,,
Transition,/minisi(t'a)/,|minisitaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/minisi(t'a)/,|minisita|,,,,,,,,,,,,,,,,,,,,,
Transition,/minisi(t'a)/,|minisItaa|,,,,,,,1,1,,,,,,,,,,,,,
Transition,/minisi(t'a)/,|minisIta|,,,,,,,,1,,,,,,,,,,,,,
Transition,/minisI(t'aa)/,|minisitaa|,,,,,,,,,1,,,,,,,,,,,,
Transition,/minisI(t'aa)/,|minisita|,,,,,,1,,,1,,,,,,,,,,,,
Transition,/minisI(t'aa)/,|minisItaa|,,,,,,,,,,,,,,,,,,,,,
Transition,/minisI(t'aa)/,|minisIta|,,,,,,1,,,,,,,,,,,,,,,
Transition,/minisi(t'aa)/,|minisitaa|,,,,,,,,,,,,,,,,,,,,,
Transition,/minisi(t'aa)/,|minisita|,,,,,,1,,,,,,,,,,,,,,,
Transition,/minisi(t'aa)/,|minisItaa|,,,,,,,,1,,,,,,,,,,,,,
Transition,/minisi(t'aa)/,|minisIta|,,,,,,1,,1,,,,,,,,,,,,,
Transition,/mini(s'Ita)/,|minisitaa|,,,,,,,1,,1,,,,,,,,,,,,
Transition,/mini(s'Ita)/,|minisita|,,,,,,,,,1,,,,,,,,,,,,
Transition,/mini(s'Ita)/,|minisItaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/mini(s'Ita)/,|minisIta|,,,,,,,,,,,,,,,,,,,,,
Transition,/minisI(t'a)/,|minisitaa|,,,,,,,1,,1,,,,,,,,,,,,
Transition,/minisI(t'a)/,|minisita|,,,,,,,,,1,,,,,,,,,,,,
Transition,/minisI(t'a)/,|minisItaa|,,,,,,,1,,,,,,,,,,,,,,
Transition,/minisI(t'a)/,|minisIta|,,,,,,,,,,,,,,,,,,,,,
Transition,|minisitaa|,(2)/mini(s'ita)/,,,,,,,,,,,,,1,0,1,,,,,,
Transition,|minisitaa|,(2)/minisi(t'a)/,,,,,,,,,,,,,1,0,1,,,1,,,
Transition,|minisitaa|,(2)/minisI(t'aa)/,,,,,,,,,,1,,,,0,,1,,,,,
Transition,|minisitaa|,(2)/minisi(t'aa)/,,,,,,,,,,,,,,0,1,,,,,,
Transition,|minisitaa|,(2)/mini(s'Ita)/,,,,,,,,,,1,,,1,0,1,1,1,,,,
Transition,|minisitaa|,(2)/minisI(t'a)/,,,,,,,,,,1,,,1,0,,1,,1,,,
Transition,|minisita|,(2)/mini(s'ita)/,,,,,,,,,,,,,,0,1,,,,,,
Transition,|minisita|,(2)/minisi(t'a)/,,,,,,,,,,,,,,0,1,,,1,,,
Transition,|minisita|,(2)/minisI(t'aa)/,,,,,,,,,,1,,1,,0,,1,,,,,
Transition,|minisita|,(2)/minisi(t'aa)/,,,,,,,,,,,,1,,0,1,,,,,,
Transition,|minisita|,(2)/mini(s'Ita)/,,,,,,,,,,1,,,,0,1,1,1,,,,
Transition,|minisita|,(2)/minisI(t'a)/,,,,,,,,,,1,,,,0,,1,,1,,,
Transition,|minisItaa|,(2)/mini(s'ita)/,,,,,,,,,,,1,,1,0,1,,,,,,
Transition,|minisItaa|,(2)/minisi(t'a)/,,,,,,,,,,,1,,1,0,1,,,1,,,
